region,acronym,riverflood_change,riverflood_attribution,heavyprecipitation_change,heavyprecipitation_attribution,meanprecipitation_changes,meanprecipitation_attribution,firewether_changes,firewether_attribution,tropicalcyclone_changes,tropicalcyclone_attribution,severewindstorm_changes,severewindstorm_attribution,relativesealevel_changes,relativesealevel_attribution,coastalflood_changes,coastalflood_attribution,,,,,,,
Sahara (SAH),SAH,,,High confidence of increase,,,,,,,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
Western Africa (WAF),WAF,,,High confidence of increase,,,,,,,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
Central Africa (CAF),CAF,Medium confidence of increase,,High confidence of increase,,,,,,,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
North Eastern Africa (NEAF),NEAF,,,High confidence of increase,,,,,,,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
South Eastern Africa (SEAF),SEAF,,,High confidence of increase,,,,,,Medium confidence of increase,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
West Southern Africa (WSAF),WSAF,,,,,High confidence of decrease,Downward trend without attribution,High confidence of increase,,,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
East Southern Africa (ESAF),ESAF,,,High confidence of increase,Upward trend without attribution,Medium confidence of decrease,Downward trend without attribution,High confidence of increase,,Medium confidence of increase,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
Madagascar (MDG),MDG,,,High confidence of increase,,,,,,Medium confidence of increase,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
Arabian Peninsula (ARP),RAR,,,Medium confidence of increase,,,,,,,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
West Central Asia (WCA),WCA,,,High confidence of increase,Upward trend without attribution,,,Medium confidence of increase,,,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
West Siberia (WSB),WSB,,,High confidence of increase,Upward trend without attribution,High confidence of increase,Upward trend without attribution,Medium confidence of increase,,,,,,,,,,,,,,,,
East Siberia (ESB),ESB,Medium confidence of increase,,High confidence of increase,Upward trend without attribution,High confidence of increase,Upward trend without attribution,Medium confidence of increase,,,,,,,,,,,,,,,,
Russian Far East (RFE),RFE,,,High confidence of increase,Upward trend without attribution,High confidence of increase,Upward trend without attribution,Medium confidence of increase,,,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
East Asia (EAS),EAS,Medium confidence of increase,,High confidence of increase,Upward trend without attribution,High confidence of increase,,Medium confidence of increase,,Medium confidence of increase,Upward trend without attribution,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
East Central Asia (ECA),ECA,Medium confidence of increase,,High confidence of increase,Upward trend without attribution,High confidence of increase,,Medium confidence of increase,,,,,,,,,,,,,,,,
Tibetan Plateau (TIB),TIB,Medium confidence of increase,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,,,,,,,,,,,
South Asia (SAS),SAS,Medium confidence of increase,,High confidence of increase,Upward trend without attribution,High confidence of increase,Downward trend without attribution,Medium confidence of increase,,,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
South East Asia (SEA),SEA,Medium confidence of increase,,High confidence of increase,Upward trend without attribution,Medium confidence of increase,,,,Medium confidence of increase,Upward trend without attribution,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
Northern Australia (NAU),NAU,Medium confidence of increase,,Medium confidence of increase,Upward trend without attribution,,,High confidence of increase,,,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
Central Australia (CAU),CAU,Medium confidence of increase,,Medium confidence of increase,,,,High confidence of increase,,,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
Eastern Australia (EAU),EAU,Medium confidence of increase,,,,Medium confidence of decrease,,High confidence of increase,,,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
Southern Australia (SAU),SAU,Medium confidence of increase,,,,Medium confidence of decrease,,High confidence of increase,Upward trend with medium confidence of attribution,,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
New Zealand (NZ),NZ,Medium confidence of increase,,Medium confidence of increase,,,,,,,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
Southern Central America (SCA),SCA,,,,,Medium confidence of decrease,,Medium confidence of increase,,Medium confidence of increase,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
North-Western South America (NWS),NWS,,,,,High confidence of increase,,,,,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
Northern South America (NSA),NSA,,,Medium confidence of increase,,Medium confidence of decrease,,High confidence of increase,,,Medium confidence of increase,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
South American Monsoon (SAM),SAM,Medium confidence of increase,Upward trend without attribution,Medium confidence of increase,,,,High confidence of increase,,,,,,,,,,,,,,,,
North-Eastern South America (NES),NES,,,Medium confidence of increase,,High confidence of decrease,Downward trend without attribution,High confidence of increase,,,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
South-Western South America (SWS),SWS,,,,,High confidence of decrease,,High confidence of increase,,,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
South-Eastern South America (SES),SES,Medium confidence of increase,,Medium confidence of increase,Upward trend without attribution,High confidence of increase,Upward trend without attribution,,,,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
Southern South America (SSA),SSA,,,Medium confidence of increase,,,,Medium confidence of increase,,,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
Mediterranean (MED),MED,Medium confidence of decrease,Downward trend without attribution,Medium confidence of increase,,High confidence of decrease,,High confidence of increase,,,,Medium confidence of increase,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
Western and Central Europe (WCE),WCE,High confidence of increase,Upward trend without attribution,High confidence of increase,Upward trend without attribution,,,,,,,Medium confidence of increase,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
Eastern Europe (EEU),EEU,Medium confidence of decrease,,High confidence of increase,Upward trend without attribution,,,Medium confidence of increase,,,,Medium confidence of increase,,,,,,,,,,,,
Northern Europe (NEU),NEU,Medium confidence of decrease,Downward trend without attribution,High confidence of increase,Upward trend with high confidence of attribution,High confidence of increase,Upward trend without attribution,,,,Mean wind speed,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
Northern Central America (NCA),NCA,,,High confidence of increase,,Medium confidence of decrease,,High confidence of increase,Upward trend without attribution,Medium confidence of increase,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,Upward trend without attribution,,,,,,,
Western North America (WNA),WNA,Medium confidence of increase,,Medium confidence of increase,,,,High confidence of increase,Upward trend without attribution,,,Medium confidence of increase,,High confidence of increase,Upward trend without attribution,High confidence of increase,Upward trend without attribution,,,,,,,
Central North America (CNA),CNA,Medium confidence of increase,High confidence of increase,Upward trend with medium confidence of attribution,,,,Medium confidence of increase,,Medium confidence of increase,,Medium confidence of increase,,High confidence of increase,Upward trend without attribution,High confidence of increase,Upward trend without attribution,,,,,,,
Eastern North America (ENA),ENA,High confidence of increase,Upward trend without attribution,Medium confidence of increase,,High confidence of increase,Upward trend without attribution,,,Medium confidence of increase,,Medium confidence of increase,,High confidence of increase,Upward trend without attribution,High confidence of increase,Upward trend without attribution,,,,,,,
North-Eastern North America (NEN),NEN,Medium confidence of increase,,High confidence of increase,,High confidence of increase,,Medium confidence of increase,,,,,,,,Medium confidence of increase,Upward trend without attribution,,,,,,,
North-Western North America (NWN),NWN,Medium confidence of increase,,High confidence of increase,,High confidence of increase,,Upward trend without attribution,,,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,Upward trend without attribution,,,,,,,
Caribbean (CAR),CAR,,,,,High confidence of decrease,,,,Medium confidence of increase,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
Pacific Small Islands (PAC),PAC,,,High confidence of increase,,Medium confidence of increase,,,,,,,,High confidence of increase,Upward trend without attribution,High confidence of increase,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
